"DR1TLZ.Code.or.Value","DR1TLZ.Value.Description","DR1TLZ.Count","DR1TLZ.Cumulative","DR1TLZ.Skip.to.Item"
"0 to 110892","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
