"LBCF06LA.Code.or.Value","LBCF06LA.Value.Description","LBCF06LA.Count","LBCF06LA.Cumulative","LBCF06LA.Skip.to.Item"
"0.0566 to 0.25","Range of Values",246,246,NA
".","Missing",1,247,NA
