"DS1TVD.Code.or.Value","DS1TVD.Value.Description","DS1TVD.Count","DS1TVD.Cumulative","DS1TVD.Skip.to.Item"
"0.4 to 1265","Range of Values",1909,1909,NA
".","Missing",7853,9762,NA
