"AUXTCOMR.Code.or.Value","AUXTCOMR.Value.Description","AUXTCOMR.Count","AUXTCOMR.Cumulative","AUXTCOMR.Skip.to.Item"
"0 to 5.3","Range of Values",2754,2754,NA
"777","Refused",3,2757,NA
"888","Could not obtain",32,2789,NA
".","Missing",245,3034,NA
