"RXDRSC1.Code.or.Value","RXDRSC1.Value.Description","RXDRSC1.Count","RXDRSC1.Cumulative","RXDRSC1.Skip.to.Item"
"ICD-10-CM code 1","Value was recorded",13768,13768,NA
"55555","Unknown",84,13852,NA
"77777","Refused",5,13857,NA
"99999","Don't know",451,14308,NA
"< blank >","Missing",5335,19643,NA
