"RFXC086.Code.or.Value","RFXC086.Value.Description","RFXC086.Count","RFXC086.Cumulative","RFXC086.Skip.to.Item"
"-7.25 to 4.53","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
