"LBXMOPCT.Code.or.Value","LBXMOPCT.Value.Description","LBXMOPCT.Count","LBXMOPCT.Cumulative","LBXMOPCT.Skip.to.Item"
"1.4 to 29.3","Range of Values",8116,8116,NA
".","Missing",1049,9165,NA
