"DS2IPROT.Code.or.Value","DS2IPROT.Value.Description","DS2IPROT.Count","DS2IPROT.Cumulative","DS2IPROT.Skip.to.Item"
"0.17 to 80","Range of Values",140,140,NA
".","Missing",5386,5526,NA
