"DS2TFA.Code.or.Value","DS2TFA.Value.Description","DS2TFA.Count","DS2TFA.Cumulative","DS2TFA.Skip.to.Item"
"2 to 12000","Range of Values",1450,1450,NA
".","Missing",8094,9544,NA
