"LBXLH.Code.or.Value","LBXLH.Value.Description","LBXLH.Count","LBXLH.Cumulative","LBXLH.Skip.to.Item"
"0.1 to 126.51","Range of Values",951,951,NA
".","Missing",6494,7445,NA
