"DXDRLLE.Code.or.Value","DXDRLLE.Value.Description","DXDRLLE.Count","DXDRLLE.Cumulative","DXDRLLE.Skip.to.Item"
"1465.6 to 18977.5","Range of Values",4853,4853,NA
".","Missing",927,5780,NA
