"DR1IS060.Code.or.Value","DR1IS060.Value.Description","DR1IS060.Count","DR1IS060.Cumulative","DR1IS060.Skip.to.Item"
"0 to 2.486","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
