"DRD370J.Code.or.Value","DRD370J.Value.Description","DRD370J.Count","DRD370J.Cumulative","DRD370J.Skip.to.Item"
"1","Yes",12,12,""
"2","No",5109,5121,"DRD370K"
".","Missing",4692,9813,""
