"URXPAR.Code.or.Value","URXPAR.Value.Description","URXPAR.Count","URXPAR.Cumulative","URXPAR.Skip.to.Item"
"0.07 to 59.2","Range of Values",2584,2584,NA
".","Missing",175,2759,NA
