"LBDACRLC.Code.or.Value","LBDACRLC.Value.Description","LBDACRLC.Count","LBDACRLC.Cumulative","LBDACRLC.Skip.to.Item"
"0","At or above the detection limit",7096,7096,NA
"1","Below lower detection limit",5,7101,NA
".","Missing",1455,8556,NA
