"DS2TLZ.Code.or.Value","DS2TLZ.Value.Description","DS2TLZ.Count","DS2TLZ.Cumulative","DS2TLZ.Skip.to.Item"
"50 to 48000","Range of Values",454,454,NA
".","Missing",8250,8704,NA
