"DXDTRPF.Code.or.Value","DXDTRPF.Value.Description","DXDTRPF.Count","DXDTRPF.Cumulative","DXDTRPF.Skip.to.Item"
"10.3 to 55.1","Range of Values",5288,5288,NA
".","Missing",745,6033,NA
