"MCQ170I.Code.or.Value","MCQ170I.Value.Description","MCQ170I.Count","MCQ170I.Cumulative","MCQ170I.Skip.to.Item"
"1","Yes",195,195,"MCQ180I"
"2","No",88,283,"MCQ180I"
"7","Refused",0,283,"MCQ180I"
"9","Don't know",8,291,"MCQ180I"
".","Missing",9202,9493,""
