"DS1ILZ.Code.or.Value","DS1ILZ.Value.Description","DS1ILZ.Count","DS1ILZ.Cumulative","DS1ILZ.Skip.to.Item"
"37.5 to 150000","Range of Values",577,577,NA
".","Missing",5329,5906,NA
