"SMD100FL.Code.or.Value","SMD100FL.Value.Description","SMD100FL.Count","SMD100FL.Cumulative","SMD100FL.Skip.to.Item"
"0","Non-filter",16,16,NA
"1","Filter",1051,1067,NA
".","Missing",6119,7186,NA
