"AUXR6KL.Code.or.Value","AUXR6KL.Value.Description","AUXR6KL.Count","AUXR6KL.Cumulative","AUXR6KL.Skip.to.Item"
"10 to 100","Range of Values",8,8,NA
"666","No response",1,9,NA
"888","Could not obtain",0,9,NA
".","Missing",2359,2368,NA
