"PFD069L.Code.or.Value","PFD069L.Value.Description","PFD069L.Count","PFD069L.Cumulative","PFD069L.Skip.to.Item"
"365 to 10958","Range of Values",10,10,NA
"66666","Since birth",6,16,NA
"77777","Refused",0,16,NA
"99999","Don't know",1,17,NA
".","Missing",9649,9666,NA
