"LBCD05LA.Code.or.Value","LBCD05LA.Value.Description","LBCD05LA.Count","LBCD05LA.Cumulative","LBCD05LA.Skip.to.Item"
"8.37 to 112","Range of Values",246,246,NA
".","Missing",1,247,NA
