"SLQ310.Code.or.Value","SLQ310.Value.Description","SLQ310.Count","SLQ310.Cumulative","SLQ310.Skip.to.Item"
"Usual wake time on weekdays or workdays","Value was recorded",6100,6100,NA
"77777","Refused",1,6101,NA
"99999","Don't know",21,6122,NA
"< blank >","Missing",39,6161,NA
