"TYXP047.Code.or.Value","TYXP047.Value.Description","TYXP047.Count","TYXP047.Cumulative","TYXP047.Skip.to.Item"
"-75 to 167","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
