"BIXS469K.Code.or.Value","BIXS469K.Value.Description","BIXS469K.Count","BIXS469K.Cumulative","BIXS469K.Skip.to.Item"
"81.72 to 850.06","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
