"DIQ170.Code.or.Value","DIQ170.Value.Description","DIQ170.Count","DIQ170.Cumulative","DIQ170.Skip.to.Item"
"1","Yes",899,899,NA
"2","No",5268,6167,NA
"7","Refused",0,6167,NA
"9","Don't know",19,6186,NA
".","Missing",3389,9575,NA
