"DR2IS040.Code.or.Value","DR2IS040.Value.Description","DR2IS040.Count","DR2IS040.Cumulative","DR2IS040.Skip.to.Item"
"0 to 4.524","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
