"LBDF08LC.Code.or.Value","LBDF08LC.Value.Description","LBDF08LC.Count","LBDF08LC.Cumulative","LBDF08LC.Skip.to.Item"
"0","detectable result",777,777,NA
"1","below detectable limit",932,1709,NA
".","Missing",565,2274,NA
