"AUXR5CR.Code.or.Value","AUXR5CR.Value.Description","AUXR5CR.Count","AUXR5CR.Cumulative","AUXR5CR.Skip.to.Item"
"5 to 40","Range of Values",6,6,NA
"666","No response",0,6,NA
"888","Could not obtain",0,6,NA
".","Missing",1204,1210,NA
