"OPDUIRMA.Code.or.Value","OPDUIRMA.Value.Description","OPDUIRMA.Count","OPDUIRMA.Cumulative","OPDUIRMA.Skip.to.Item"
"0","None",2381,2381,NA
"1","Questionable",35,2416,NA
"2","< 8A",36,2452,NA
"3",">= 8A",6,2458,NA
".","Missing",476,2934,NA
