"URXOP4.Code.or.Value","URXOP4.Value.Description","URXOP4.Count","URXOP4.Cumulative","URXOP4.Skip.to.Item"
"0.0707 to 34","Range of Values",2796,2796,NA
".","Missing",190,2986,NA
