"AUQ530.Code.or.Value","AUQ530.Value.Description","AUQ530.Count","AUQ530.Cumulative","AUQ530.Skip.to.Item"
"1 to 24","Range of Values",555,555,NA
"77","Refused",0,555,NA
"99","Don't know",5,560,NA
".","Missing",2571,3131,NA
