"URDOP6LC.Code.or.Value","URDOP6LC.Value.Description","URDOP6LC.Count","URDOP6LC.Cumulative","URDOP6LC.Skip.to.Item"
"0","At or above the detection limit",16,16,NA
"1","Below lower detection limit",2569,2585,NA
".","Missing",109,2694,NA
