"BMXARMC.Code.or.Value","BMXARMC.Value.Description","BMXARMC.Count","BMXARMC.Cumulative","BMXARMC.Skip.to.Item"
"10.2 to 61","Range of Values",9699,9699,NA
".","Missing",554,10253,NA
