"WTSAU2YR.Code.or.Value","WTSAU2YR.Value.Description","WTSAU2YR.Count","WTSAU2YR.Cumulative","WTSAU2YR.Skip.to.Item"
"2623.5024752 to 478335.60528","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
