"AUXRR253.Code.or.Value","AUXRR253.Value.Description","AUXRR253.Count","AUXRR253.Cumulative","AUXRR253.Skip.to.Item"
"-63 to 36","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
