"SMQ780.Code.or.Value","SMQ780.Value.Description","SMQ780.Count","SMQ780.Cumulative","SMQ780.Skip.to.Item"
"1 to 20","Range of Values",120,120,NA
"77","Refused",1,121,NA
"99","Don't know",1,122,NA
".","Missing",6868,6990,NA
