"DR2TM181.Code.or.Value","DR2TM181.Value.Description","DR2TM181.Count","DR2TM181.Cumulative","DR2TM181.Skip.to.Item"
"0 to 136.48","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
