"URDUCMLC.Code.or.Value","URDUCMLC.Value.Description","URDUCMLC.Count","URDUCMLC.Cumulative","URDUCMLC.Skip.to.Item"
"0","At or above detection limit",1132,1132,NA
"1","below lower detection limit",1659,2791,NA
".","Missing",188,2979,NA
