"RFXC127.Code.or.Value","RFXC127.Value.Description","RFXC127.Count","RFXC127.Cumulative","RFXC127.Skip.to.Item"
"-5.226 to 6.246","Range of Values",33681,33681,NA
".","Missing",40,33721,NA
