"DLQ040.Code.or.Value","DLQ040.Value.Description","DLQ040.Count","DLQ040.Cumulative","DLQ040.Skip.to.Item"
"1","Yes",966,966,NA
"2","No",7598,8564,NA
"7","Refused",0,8564,NA
"9","Don't know",8,8572,NA
".","Missing",1003,9575,NA
