"DRXTSELE.Code.or.Value","DRXTSELE.Value.Description","DRXTSELE.Count","DRXTSELE.Cumulative","DRXTSELE.Skip.to.Item"
"0 to 953.4","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
