"BPQ020.Code.or.Value","BPQ020.Value.Description","BPQ020.Count","BPQ020.Cumulative","BPQ020.Skip.to.Item"
"1","Yes",1625,1625,""
"2","No",4498,6123,"BPQ055"
"7","Refused",0,6123,"BPQ055"
"9","Don't know",16,6139,"BPQ055"
".","Missing",0,6139,""
