"CIQP24.Code.or.Value","CIQP24.Value.Description","CIQP24.Count","CIQP24.Cumulative","CIQP24.Skip.to.Item"
"9 to 39","Range of Values",58,58,NA
"77","Refused",0,58,NA
"99","Don't know",0,58,NA
".","Missing",870,928,NA
