"DRD370O.Code.or.Value","DRD370O.Value.Description","DRD370O.Count","DRD370O.Cumulative","DRD370O.Skip.to.Item"
"1","Yes",43,43,""
"2","No",5037,5080,"DRD370P"
".","Missing",4202,9282,""
