"DRXTVC.Code.or.Value","DRXTVC.Value.Description","DRXTVC.Count","DRXTVC.Cumulative","DRXTVC.Skip.to.Item"
"0 to 1771.1","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
