"SPAFACT.Code.or.Value","SPAFACT.Value.Description","SPAFACT.Count","SPAFACT.Cumulative","SPAFACT.Skip.to.Item"
"1.05 to 1.145","Range of Values",34857,34857,NA
".","Missing",0,34857,NA
