"WHQ070.Code.or.Value","WHQ070.Value.Description","WHQ070.Count","WHQ070.Cumulative","WHQ070.Skip.to.Item"
"1","Yes",1885,1885,""
"2","No",3622,5507,"WHQ090"
"7","Refused",2,5509,"WHQ090"
"9","Don't know",1,5510,"WHQ090"
".","Missing",629,6139,""
