"LBXVST.Code.or.Value","LBXVST.Value.Description","LBXVST.Count","LBXVST.Cumulative","LBXVST.Skip.to.Item"
"0.0066 to 9.45","Range of Values",284,284,NA
".","Missing",567,851,NA
