"LBCBR11.Code.or.Value","LBCBR11.Value.Description","LBCBR11.Count","LBCBR11.Cumulative","LBCBR11.Skip.to.Item"
"4.455 to 143.5","Range of Values",251,251,NA
".","Missing",0,251,NA
