"RFXC135.Code.or.Value","RFXC135.Value.Description","RFXC135.Count","RFXC135.Cumulative","RFXC135.Skip.to.Item"
"-7.561 to 7.446","Range of Values",33679,33679,NA
".","Missing",42,33721,NA
