"DSQINIAC.Code.or.Value","DSQINIAC.Value.Description","DSQINIAC.Count","DSQINIAC.Cumulative","DSQINIAC.Skip.to.Item"
"0.085 to 3000","Range of Values",2225,2225,NA
".","Missing",6892,9117,NA
