"CFALANG.Code.or.Value","CFALANG.Value.Description","CFALANG.Count","CFALANG.Cumulative","CFALANG.Skip.to.Item"
"1","English",1488,1488,NA
"2","Spanish",167,1655,NA
"3","Asian language",31,1686,NA
".","Missing",99,1785,NA
