"AUXLR117.Code.or.Value","AUXLR117.Value.Description","AUXLR117.Count","AUXLR117.Cumulative","AUXLR117.Skip.to.Item"
"-43 to 36","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
