"DR1_300.Code.or.Value","DR1_300.Value.Description","DR1_300.Count","DR1_300.Cumulative","DR1_300.Skip.to.Item"
"1","Much more than usual",766,766,NA
"2","Usual",6888,7654,NA
"3","Much less than usual",1830,9484,NA
"7","Refused",2,9486,NA
"9","Don't know",47,9533,NA
".","Missing",417,9950,NA
