"DR2TPFAT.Code.or.Value","DR2TPFAT.Value.Description","DR2TPFAT.Count","DR2TPFAT.Cumulative","DR2TPFAT.Skip.to.Item"
"0 to 123.657","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
