"LBDSGLSI.Code.or.Value","LBDSGLSI.Value.Description","LBDSGLSI.Count","LBDSGLSI.Cumulative","LBDSGLSI.Skip.to.Item"
"1.665 to 39.246","Range of Values",6891,6891,NA
".","Missing",554,7445,NA
