"SMD100BR.Code.or.Value","SMD100BR.Value.Description","SMD100BR.Count","SMD100BR.Cumulative","SMD100BR.Skip.to.Item"
"Cigarette Brand/sub-brand","Value was recorded",1092,1092,NA
"","Missing",6076,7168,NA
