"DS1ANCNT.Code.or.Value","DS1ANCNT.Value.Description","DS1ANCNT.Count","DS1ANCNT.Cumulative","DS1ANCNT.Skip.to.Item"
"0 to 2","Range of Values",8505,8505,NA
".","Missing",1039,9544,NA
