"DXDSTPF.Code.or.Value","DXDSTPF.Value.Description","DXDSTPF.Count","DXDSTPF.Cumulative","DXDSTPF.Skip.to.Item"
"11 to 56.3","Range of Values",4544,4544,NA
".","Missing",1148,5692,NA
