"DR2IALCO.Code.or.Value","DR2IALCO.Value.Description","DR2IALCO.Count","DR2IALCO.Cumulative","DR2IALCO.Skip.to.Item"
"0 to 443.5","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
