"RHD143.Code.or.Value","RHD143.Value.Description","RHD143.Count","RHD143.Cumulative","RHD143.Skip.to.Item"
"1","Yes",48,48,""
"2","No",738,786,"RHQ160"
"7","Refused",0,786,"RHQ160"
"9","Don't know",19,805,"RHQ160"
".","Missing",2940,3745,""
