"PAQ724e.Code.or.Value","PAQ724e.Value.Description","PAQ724e.Count","PAQ724e.Cumulative","PAQ724e.Skip.to.Item"
"5","CHEERLEADING",35,35,NA
".","Missing",9220,9255,NA
